,country,age,gender,marital_status,education_level,heard_of_mobile_money
633,nigeria,30.0,1,1,1,2
634,nigeria,30.0,1,3,1,2
635,nigeria,27.0,1,1,5,2
636,nigeria,35.0,1,3,11,2
637,nigeria,32.0,2,3,12,1
638,nigeria,35.0,1,1,5,2
639,nigeria,18.0,1,1,4,2
640,nigeria,20.0,1,1,5,2
641,nigeria,22.0,1,1,6,2
642,nigeria,20.0,1,1,4,2
643,nigeria,36.0,1,3,5,2
644,nigeria,32.0,1,3,3,2
645,nigeria,20.0,1,1,2,2
646,nigeria,20.0,1,1,5,2
647,nigeria,18.0,1,1,4,2
648,nigeria,21.0,1,1,5,2
649,nigeria,22.0,1,1,5,2
650,nigeria,20.0,1,1,5,2
651,nigeria,20.0,1,1,5,2
652,nigeria,39.0,1,2,1,2
653,nigeria,25.0,1,1,5,2
654,nigeria,65.0,2,3,1,2
655,nigeria,20.0,1,1,13,2
656,nigeria,19.0,1,1,4,2
657,nigeria,30.0,1,1,8,2
658,nigeria,28.0,1,1,5,2
659,nigeria,25.0,1,1,4,2
660,nigeria,25.0,1,2,5,2
661,nigeria,31.0,1,2,3,2
662,nigeria,21.0,1,1,3,2
663,nigeria,29.0,1,2,1,2
664,nigeria,40.0,1,2,3,2
665,nigeria,48.0,1,2,3,2
666,nigeria,40.0,1,3,3,2
667,nigeria,23.0,1,1,3,2
668,nigeria,30.0,1,3,5,2
669,nigeria,41.0,1,3,5,1
670,nigeria,32.0,1,2,9,2
671,nigeria,37.0,2,2,3,2
672,nigeria,40.0,2,3,8,2
673,nigeria,40.0,1,3,10,2
674,nigeria,18.0,1,1,4,2
675,nigeria,45.0,1,3,9,2
676,nigeria,25.0,1,1,5,2
677,nigeria,20.0,1,1,1,2
678,nigeria,32.0,1,3,15,2
679,nigeria,25.0,1,1,1,2
680,nigeria,42.0,1,2,11,2
681,nigeria,27.0,1,1,5,2
682,nigeria,27.0,1,1,5,2
683,nigeria,26.0,1,1,5,2
684,nigeria,19.0,1,1,6,2
685,nigeria,34.0,1,3,5,2
686,nigeria,30.0,1,1,3,2
687,nigeria,25.0,1,1,9,2
688,nigeria,40.0,1,1,4,2
689,nigeria,28.0,2,1,4,2
690,nigeria,27.0,1,1,4,2
691,nigeria,30.0,2,2,1,2
692,nigeria,28.0,2,2,3,2
693,nigeria,25.0,2,3,1,2
694,nigeria,28.0,1,3,10,2
695,nigeria,40.0,1,2,1,2
696,nigeria,25.0,1,2,5,2
697,nigeria,22.0,1,1,5,2
698,nigeria,37.0,1,2,3,2
699,nigeria,37.0,1,1,3,2
700,nigeria,23.0,1,3,5,2
701,nigeria,23.0,1,3,3,2
702,nigeria,19.0,1,1,4,2
703,nigeria,31.0,1,3,4,2
704,nigeria,18.0,1,1,4,2
705,nigeria,18.0,1,1,3,2
706,nigeria,20.0,1,1,5,2
707,nigeria,51.0,1,2,2,2
708,nigeria,29.0,1,2,5,2
709,nigeria,27.0,1,5,3,2
710,nigeria,35.0,1,2,5,2
711,nigeria,25.0,2,3,5,2
712,nigeria,20.0,2,3,3,2
713,nigeria,18.0,2,3,5,2
714,nigeria,45.0,1,3,5,2
715,nigeria,28.0,2,3,3,2
716,nigeria,25.0,1,1,5,2
717,nigeria,18.0,2,1,3,2
718,nigeria,43.0,2,3,5,2
719,nigeria,20.0,2,3,3,2
720,nigeria,22.0,1,1,4,2
721,nigeria,30.0,2,1,9,2
722,nigeria,35.0,1,3,3,2
723,nigeria,22.0,1,1,4,2
724,nigeria,50.0,2,2,13,2
725,nigeria,20.0,2,1,5,2
726,nigeria,35.0,2,3,3,2
727,nigeria,60.0,1,1,9,2
728,nigeria,17.0,2,3,3,2
