,country,age,gender,marital_status,education_level,funnel|exposure,funnel|enrollment,funnel|usage_basic,funnel|usage_sophisticated,funnel|usage,funnel|recent,funnel|longevity,funnel|frequent,funnel|retention
237,nigeria,43.0,2,3,8,True,False,False,False,False,False,False,False,False
238,nigeria,20.0,1,1,5,False,False,False,False,False,False,False,False,False
239,nigeria,26.0,2,1,10,True,False,False,False,False,False,False,False,False
240,nigeria,32.0,1,1,10,True,False,False,False,False,False,False,False,False
241,nigeria,29.0,1,1,4,False,False,False,False,False,False,False,False,False
242,nigeria,27.0,2,3,5,False,False,False,False,False,False,False,False,False
243,nigeria,20.0,2,1,5,False,False,False,False,False,False,False,False,False
244,nigeria,27.0,1,1,11,False,False,False,False,False,False,False,False,False
245,nigeria,31.0,2,3,4,False,False,False,False,False,False,False,False,False
246,nigeria,22.0,1,1,5,False,False,False,False,False,False,False,False,False
247,nigeria,23.0,2,1,4,False,False,False,False,False,False,False,False,False
248,nigeria,25.0,1,1,5,True,False,False,False,False,False,False,False,False
249,nigeria,25.0,1,1,5,False,False,False,False,False,False,False,False,False
250,nigeria,23.0,1,1,4,False,False,False,False,False,False,False,False,False
251,nigeria,29.0,2,3,5,False,False,False,False,False,False,False,False,False
252,nigeria,23.0,1,1,5,True,False,False,False,False,False,False,False,False
253,nigeria,48.0,1,3,5,True,False,False,False,False,False,False,False,False
254,nigeria,32.0,2,3,5,False,False,False,False,False,False,False,False,False
255,nigeria,52.0,1,1,9,True,False,False,False,False,False,False,False,False
256,nigeria,23.0,1,1,8,True,False,False,False,False,False,False,False,False
257,nigeria,20.0,1,1,5,False,False,False,False,False,False,False,False,False
258,nigeria,22.0,1,1,10,False,False,False,False,False,False,False,False,False
259,nigeria,29.0,2,1,9,True,False,False,False,False,False,False,False,False
260,nigeria,62.0,2,6,3,False,False,False,False,False,False,False,False,False
261,nigeria,24.0,2,7,5,False,False,False,False,False,False,False,False,False
262,nigeria,17.0,2,1,5,True,False,False,False,False,False,False,False,False
263,nigeria,18.0,2,1,4,False,False,False,False,False,False,False,False,False
264,nigeria,36.0,1,3,9,False,False,False,False,False,False,False,False,False
265,nigeria,30.0,1,1,3,False,False,False,False,False,False,False,False,False
266,nigeria,26.0,2,3,4,False,False,False,False,False,False,False,False,False
